Province/State,Country/Region,Lat,Long,Time,Daily Confirmed,Daily Death,Daily Recovered,Cum Confirmed,Cum Death,Cum Recovered,PCum Confirmed,PCum Death,PCum Recovered,dPCum Confirmed,dPCum Death,dPCum Recovered,Mortality,perchange Confirmed,perchange Death,perchange Recovered,Lat Long
,Iran,32.0,53.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"32.0,53.0"
,"Korea, South",36.0,128.0,2020-01-22,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"36.0,128.0"
France,France,46.2276,2.2137,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.2276,2.2137"
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"23.3417,113.4244"
Henan,China,33.882,113.61399999999999,2020-01-22,5,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.882,113.61399999999999"
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"29.1832,120.0934"
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"27.6104,111.7088"
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.8257,117.2264"
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"27.614,115.7221"
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"36.3427,118.1498"
Diamond Princess,Cruise Ship,35.4437,139.638,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.4437,139.638"
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"32.9711,119.455"
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"30.0572,107.874"
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"30.6171,102.7103"
Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.861999999999995,127.7615"
Denmark,Denmark,56.2639,9.5018,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"56.2639,9.5018"
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.1824,116.4142"
